SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
NIFTY,2026-07-07,22200.0,PE,2.15,2.55,1.1,1.45,1.45,41636,60085587880.5,643110,-62270,2026-07-02
NIFTY,2026-07-07,23350.0,PE,7.5,7.5,2.9,3.45,3.45,169837,257825426222.0,1364285,-473655,2026-07-02
NIFTY,2026-07-07,24000.0,PE,103.0,109.0,43.0,45.5,45.5,2093503,3275211904805.75,12387115,621010,2026-07-02
NIFTY,2026-07-07,24600.0,PE,493.3,533.9,388.1,413.55,413.55,9827,16008790723.25,135525,3510,2026-07-02
NIFTY,2026-07-07,24650.0,PE,541.7,581.05,436.4,462.5,462.5,1957,3199484002.0,15665,13260,2026-07-02
NIFTY,2026-07-07,24850.0,PE,738.65,764.05,636.4,663.85,663.85,115,190965021.0,3900,1625,2026-07-02
NIFTY,2026-07-07,25150.0,PE,962.8,962.8,962.8,962.8,962.8,2,3394664.0,390,130,2026-07-02
NIFTY,2026-07-14,21500.0,PE,3.0,3.55,2.4,2.9,2.9,2332,3259436849.5,125450,54795,2026-07-02
NIFTY,2026-07-14,23100.0,PE,13.1,13.8,7.2,7.8,7.8,40268,60488206736.75,369005,97175,2026-07-02
NIFTY,2026-07-14,23650.0,PE,56.9,61.7,33.2,34.5,34.5,6117,9420597234.75,104780,46865,2026-07-02
NIFTY,2026-07-14,24000.0,PE,160.0,160.0,99.0,101.4,101.4,54457,85396092099.5,1060865,315510,2026-07-02
NIFTY,2026-07-14,24050.0,PE,180.0,180.0,112.75,116.55,116.55,12436,19555553013.75,165555,94705,2026-07-02
NIFTY,2026-07-14,24350.0,PE,327.25,338.35,241.7,252.6,252.6,1005,1609214769.5,22230,12480,2026-07-02
NIFTY,2026-07-14,24500.0,PE,424.0,450.0,223.45,345.2,345.2,7682,12419229810.0,235755,142480,2026-07-02
NIFTY,2026-07-21,22450.0,PE,8.95,8.95,7.0,7.0,7.0,37,54011152.0,1105,-715,2026-07-02
NIFTY,2026-07-21,23300.0,PE,48.0,50.35,27.95,29.25,29.25,2419,3669239327.0,54145,22880,2026-07-02
NIFTY,2026-07-21,23600.0,PE,95.4,96.0,57.9,59.35,59.35,1699,2614177735.0,56615,29055,2026-07-02
NIFTY,2026-07-21,23850.0,PE,160.2,160.25,103.55,106.15,106.15,424,660885920.5,18005,4420,2026-07-02
NIFTY,2026-07-21,24700.0,PE,0.0,0.0,0.0,848.75,641.3,0,0.0,0,0,2026-07-02
NIFTY,2026-07-21,25200.0,PE,0.0,0.0,0.0,1217.4,1025.8,0,0.0,0,0,2026-07-02
NIFTY,2026-07-28,21250.0,PE,0.0,0.0,0.0,7.55,0.5,0,0.0,7475,0,2026-07-02
NIFTY,2026-07-28,21800.0,PE,9.5,9.8,6.7,8.25,8.25,3176,4502139131.75,138385,20475,2026-07-02
NIFTY,2026-07-28,22200.0,PE,15.0,15.35,11.1,11.35,11.35,5750,8301834450.0,378950,15275,2026-07-02
NIFTY,2026-07-28,24350.0,PE,402.95,416.25,326.55,334.35,334.35,499,801721856.0,35685,2145,2026-07-02
