SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
NIFTY,2029-12-24,18000.0,PE,0.0,0.0,0.0,96.5,95.97,0,0.0,0,0,2026-08-12
NIFTY,2029-12-24,26000.0,PE,0.0,0.0,0.0,2150.0,1302.05,0,0.0,3665,0,2026-08-12
NIFTY,2030-06-25,24000.0,PE,0.0,0.0,0.0,698.15,780.79,0,0.0,0,0,2026-08-12
NIFTY,2030-12-31,25500.0,PE,0.0,0.0,0.0,538.25,1051.62,0,0.0,0,0,2026-08-12
NIFTY,2031-06-24,31500.0,PE,0.0,0.0,0.0,3185.85,2710.38,0,0.0,0,0,2026-08-12
NIFTY,2026-08-18,26200.0,PE,0.0,0.0,0.0,1677.0,1738.05,0,0.0,65,0,2026-08-12
NIFTY,2026-08-18,24900.0,PE,405.45,575.3,399.0,466.05,466.05,8622,14228078777.25,354510,-41015,2026-08-12
NIFTY,2026-08-18,24650.0,PE,201.6,348.95,201.55,251.65,251.65,58255,94337372886.25,332930,-54795,2026-08-12
NIFTY,2026-08-18,23750.0,PE,6.5,11.15,4.35,4.9,4.9,261785,404260984933.0,1102270,631735,2026-08-12
NIFTY,2031-06-24,16500.0,CE,0.0,0.0,0.0,11849.25,12507.34,0,0.0,0,0,2026-08-12
NIFTY,2030-12-31,24000.0,CE,0.0,0.0,0.0,8563.3,7190.27,0,0.0,0,0,2026-08-12
NIFTY,2030-06-25,25500.0,CE,0.0,0.0,0.0,7070.45,5763.94,0,0.0,0,0,2026-08-12
NIFTY,2029-12-24,19500.0,CE,0.0,0.0,0.0,10678.8,8989.33,0,0.0,0,0,2026-08-12
NIFTY,2029-06-26,19500.0,CE,0.0,0.0,0.0,10206.95,8458.94,0,0.0,0,0,2026-08-12
NIFTY,2026-09-15,22900.0,CE,0.0,0.0,0.0,1748.55,1718.85,0,0.0,0,0,2026-08-12
NIFTY,2026-09-15,23700.0,CE,0.0,0.0,0.0,1074.8,1046.36,0,0.0,0,0,2026-08-12
NIFTY,2026-09-15,24300.0,CE,424.0,424.0,410.0,410.0,644.9,8,12853831.25,390,390,2026-08-12
NIFTY,2026-09-15,25200.0,CE,0.0,0.0,0.0,268.55,251.82,0,0.0,0,0,2026-08-12
NIFTY,2028-06-27,16500.0,CE,0.0,0.0,0.0,11752.8,9864.17,0,0.0,0,0,2026-08-12
NIFTY,2027-12-28,31500.0,CE,0.0,0.0,0.0,195.0,575.37,0,0.0,2145,0,2026-08-12
NIFTY,2026-09-29,21700.0,CE,0.0,0.0,0.0,2586.45,2930.79,0,0.0,0,0,2026-08-12
NIFTY,2026-09-29,22750.0,CE,0.0,0.0,0.0,1386.55,1941.27,0,0.0,260,0,2026-08-12
NIFTY,2026-09-29,23750.0,CE,900.4,940.0,900.1,940.0,1125.98,6,9616490.0,1235,65,2026-08-12
NIFTY,2026-09-29,24150.0,CE,611.85,670.0,611.8,670.0,670.0,47,75671700.0,6305,2535,2026-08-12
NIFTY,2026-09-29,24500.0,CE,492.7,492.75,389.1,438.55,438.55,17216,27892611240.0,1803100,171600,2026-08-12
NIFTY,2026-09-29,25800.0,CE,46.75,48.25,36.1,40.3,40.3,4830,8112239976.75,348985,25220,2026-08-12
NIFTY,2026-10-27,23100.0,CE,0.0,0.0,0.0,1547.05,1820.75,0,0.0,0,0,2026-08-12
NIFTY,2026-10-27,23700.0,CE,0.0,0.0,0.0,1151.6,1369.31,0,0.0,0,0,2026-08-12
NIFTY,2027-12-28,30000.0,CE,377.0,402.0,364.1,399.0,399.0,184,363387833.25,118885,260,2026-08-12
NIFTY,2027-12-28,26000.0,CE,1805.0,1843.65,1745.0,1783.0,1783.0,31,55983521.75,68485,-650,2026-08-12
NIFTY,2027-12-28,25000.0,CE,2368.15,2368.15,2270.2,2300.0,2737.93,11,19529857.75,33745,65,2026-08-12
NIFTY,2027-06-29,28500.0,CE,0.0,0.0,0.0,1711.9,651.03,0,0.0,0,0,2026-08-12
NIFTY,2026-10-27,27100.0,CE,0.0,0.0,0.0,101.3,111.19,0,0.0,0,0,2026-08-12
NIFTY,2026-10-27,27000.0,CE,18.05,19.25,16.3,17.8,17.8,483,848209095.5,61230,10400,2026-08-12
NIFTY,2026-12-29,28000.0,CE,40.4,42.5,38.55,40.55,40.55,2210,4027921394.25,1574645,-6060,2026-08-12
NIFTY,2026-09-01,23100.0,CE,0.0,0.0,0.0,1378.25,1437.46,0,0.0,0,0,2026-08-12
NIFTY,2026-09-01,23300.0,CE,0.0,0.0,0.0,1220.55,1254.2,0,0.0,0,0,2026-08-12
NIFTY,2026-10-27,26850.0,CE,0.0,0.0,0.0,126.7,141.33,0,0.0,0,0,2026-08-12
NIFTY,2026-10-27,26050.0,CE,0.0,0.0,0.0,247.25,287.67,0,0.0,0,0,2026-08-12
NIFTY,2026-10-27,25400.0,CE,211.35,230.95,187.0,205.4,205.4,625,1040016022.5,17355,5005,2026-08-12
NIFTY,2026-10-27,25000.0,CE,385.65,392.9,321.15,350.25,350.25,8050,13261288251.25,330915,8450,2026-08-12
NIFTY,2026-10-27,24950.0,CE,0.0,0.0,0.0,415.0,654.6,0,0.0,2925,0,2026-08-12
NIFTY,2026-10-27,24800.0,CE,464.0,476.3,404.0,445.0,445.0,570,935241411.0,28405,12155,2026-08-12
NIFTY,2026-09-01,23400.0,CE,0.0,0.0,0.0,1145.0,1165.3,0,0.0,0,0,2026-08-12
NIFTY,2026-09-01,23950.0,CE,0.0,0.0,0.0,542.4,722.31,0,0.0,390,0,2026-08-12
NIFTY,2026-09-01,24900.0,CE,116.95,117.05,70.2,88.2,88.2,1789,2905294561.0,55640,27040,2026-08-12
NIFTY,2026-09-01,24950.0,CE,88.8,93.8,61.25,75.6,75.6,279,453833263.0,8190,6110,2026-08-12
NIFTY,2026-09-01,25650.0,CE,11.65,11.65,8.1,8.9,8.9,216,360266835.5,4355,-1690,2026-08-12
